 Date, Latitude, Longitude, Zonal_Winds, Meridional_Winds, Humidity, Air_Temp, Sea_Surface_Temp
970105,1.99,-169.93,-2.7,1.7,83.8,27.82,28.02
970105,2.02,-179.8,-2.8,-0.2,70.3,27.94,28.89
970105,1.98,-95.01,-0.1,6.1,88,23.24,24.94
970105,-2.02,-139.96,-6.8,-2.9,74.7,24.61,25.06
970105,-1.97,-155.02,-4.7,-1.8,73.8,26.13,26.75
970105,-2,156,6.4,-2.1,80.5,28.13,29.56
970105,-1.93,164.33,3.2,-4.4,79.9,29.2,29.6
970105,-2.16,-170.02,-2.6,-3.1,76.3,27.42,28.15
970105,-2.01,-179.98,0.3,-4.6,78.3,27.16,28.09
970105,-1.98,-95.03,-1.6,3.2,93.5,21.78,21.82
970105,4.92,-139.85,-6.4,0.2,88.2,25.78,26.91
970105,5.01,-154.92,-5.9,2.4,85,26.06,27.06
970105,5,156.07,0.7,-4.9,81.1,28.24,29.95
970105,5.05,164.99,-4.5,-4.5,79.4,28.9,29.6
970105,-4.99,-110.02,-7.4,2.2,78.6,23.29,24.11
970105,-4.99,-139.92,-5.2,-3.2,76.8,25.77,25.98
970105,-4.97,-154.99,-3.6,-2.8,71.7,26.56,27.08
970105,-5.01,156.01,8.4,-4.8,81.1,28.91,29.56
970105,-4.99,-169.99,0.2,-5.6,72.5,27.84,28.5
970105,-5.03,-179.89,7.1,-2,78.7,28.36,29.16
970105,-5.01,-95.08,-4.1,2.3,74.9,22.4,22.99
970105,8.03,-125,-4,4.2,80.9,25.17,26.85
970105,7.96,-154.98,-5.8,1.3,85.7,26.97,28.07
970105,8.01,-170.04,-4.7,-3.2,83,28.17,28.92
970105,7.99,-179.81,-1.6,-3.7,81.8,27.8,29.04
970105,-8.06,-109.93,-7.5,2.2,77.4,24.63,24.68
970105,-7.97,-125.02,-6.5,-4.4,77.8,25.64,26.23
970105,-8.28,-154.98,-1.9,-3.6,69.3,28.07,28.83
970105,-8.02,-170.02,4.2,-8,75.4,28.12,29.2
970105,-8.02,-95.09,-4.4,3.1,73.8,22.79,23.44
970105,9,-140.27,-6.7,-2.3,80.5,26.2,26.95
970106,0.08,-110.01,-3.5,3.7,85.2,22.18,22.43
970106,0,-140.01,-4.9,0.4,84,24.23,24.52
970106,-0.01,-155.01,-5,-0.3,74.9,25.24,25.91
970106,0,156.15,3.8,-1.7,72.8,29.1,29.59
970106,-0.03,165.11,-1.9,1.9,82.4,27.75,29.88
970106,-0.03,-170.02,-5.3,-0.6,74.4,26.85,27.85
970106,0,-179.9,-3.5,-2,71.9,27.62,28.31
970106,1.97,-125.08,-6.3,0.4,84.5,23.07,23.04
970106,1.99,-154.96,-5.4,1.1,72.3,25.64,26.26
970106,2.03,156.02,2.2,-1,81.4,28.94,29.93
970106,1.99,164.98,5.3,-1.9,73.4,29.08,29.75
970106,1.98,-169.94,-4.5,2.2,84.2,27.47,27.74
970106,2.02,-179.81,-3.8,-1.3,71.9,28.02,28.92
970106,1.98,-95,0,6.7,85.6,23.54,24.87
970106,-2.02,-139.96,-5.8,-1.6,76.7,24.3,24.85
970106,-1.97,-155.02,-4.4,-1,75.7,26.09,26.87
970106,-2,156,5.2,-2.8,76.5,28.97,29.54
970106,-1.93,164.33,1.9,-0.3,78,28.92,29.81
970106,-2.17,-170.03,-5,-3.5,78.9,27.31,28.16
970106,-2.01,-179.98,-1.5,-2.8,73.7,27.88,28.5
970106,-1.98,-95.02,-0.6,3.1,95.4,22.13,21.97
970106,4.91,-139.84,-4.8,1.2,88.2,25.51,26.72
970106,5,-154.92,-5.8,2.6,81.1,26.26,27.17
970106,4.98,156.07,-3.2,-2.7,84.2,28.24,29.79
970106,5.06,165,-6.5,-2,78.6,29.1,29.64
970106,5.09,-94.89,3.4,3.6,94.7,24.86,26.6
970106,-4.99,-110.02,-5.4,0.4,79,23.17,24.16
970106,-5,-139.91,-3.9,-3,76.8,25.58,25.74
970106,-4.98,-154.99,-2.7,-2.4,74.6,26.64,27.29
970106,-5,156.02,6.9,-4.5,77.3,29.57,29.49
970106,-4.99,-169.99,-2.5,-5.4,73.3,27.8,28.55
970106,-5.03,-179.89,2.5,-1.5,85.7,26.85,29.02
970106,-5.01,-95.08,-3.3,2.6,83.3,22.76,23.03
970106,8.03,-125,-4.7,1.4,73.5,26.12,26.8
970106,7.96,-154.98,-2.1,2.1,88.6,26.42,28.13
970106,7.99,-179.81,-3.8,-4.5,83,28.4,29.13
970106,-8.06,-109.93,-5.9,1.3,75.6,24.48,24.63
970106,-7.97,-125.02,-6.3,-4.6,80.2,25.68,26.16
970106,-8.28,-154.97,1.1,-2,71.3,28.14,28.94
970106,-8.02,-170.03,1.3,-7.6,72.6,28.52,29.15
970106,-8.03,-95.09,-3,3.1,77.1,22.95,23.68
970106,9,-140.28,-7,-2.7,82.4,25.89,26.92
970107,0.08,-110.01,-2.8,3.2,85.2,22.1,22.35
970107,0,-140.02,-4.9,0.1,82.2,24.4,24.58
970107,0,-155.02,-4.5,-1,75.7,25.24,25.94
970107,0,156.15,1.9,-0.9,72.4,28.94,29.86
970107,-0.03,165.11,-2.7,-0.6,78.2,28.34,29.8
970107,-0.03,-170.03,-4.8,-2.2,74,27.05,27.89
970107,0,-179.91,-0.1,-0.7,73.9,27.5,28.59
970107,1.98,-125.09,-5.7,0.7,86.1,23,23.29
970107,1.98,-154.96,-3.9,0.4,73.6,25.53,26.35
970107,2.02,156.01,-1.1,-1.3,80.3,29.09,29.99
970107,1.99,164.98,2.6,-2.8,73.8,28.8,29.82
970107,1.98,-169.94,-5.4,0,83.8,27.67,27.72
970107,2.01,-179.8,-1.8,0.1,71.1,28.18,29.11
970107,2,-95.04,-0.6,5.8,88,23.7,25.15
970107,-2.02,-139.95,-6,-1.4,76.3,24.38,24.84
970107,-1.97,-155.01,-4,-2.7,75.4,25.97,26.74
970107,-2,156,4.7,-1.9,75.8,29.01,29.66
970107,-1.93,164.33,0.5,-1.6,79.5,28.89,30.11
970107,-2.16,-170.03,-3.9,-3.9,80,27.27,28.17
970107,-2,-179.99,2,-0.6,80.7,26.48,28.75
970107,-1.98,-95.02,-1.6,2.2,96.6,22.52,22.24
970107,4.91,-139.84,-5.8,3.9,83.3,25.78,26.5
970107,5,-154.93,-3.4,1.6,74.8,26.46,27.29
970107,4.99,156.07,-5.4,-2.1,78,29.21,29.78
970107,5.04,165,-5,-0.8,81.4,28.04,29.68
970107,5.09,-94.89,0.9,4.1,95.6,24.36,26.54
970107,-4.98,-110.02,-5.3,2.3,79,23.05,24.23
970107,-5,-139.9,-2.6,-4.5,76.4,25.38,25.75
970107,-4.97,-154.99,-2.2,-4.7,76.2,26.72,27.44
970107,-5,156.02,6,-3.8,79.2,29.53,29.42
970107,-4.98,-169.99,-2.7,-5.6,74.1,27.8,28.49
970107,-5.02,-179.89,2,1.1,77.1,28.08,29.15
970107,-5.01,-95.08,-3.6,2.8,83.3,22.84,23.2
970107,8.03,-125.01,-4.4,-3.4,78.1,25.89,26.74
970107,7.96,-154.99,-3.9,2.1,88.2,26.02,28.01
970107,8.01,-170.04,-4.7,-3.2,87.9,27.31,28.98
970107,7.99,-179.81,-3.2,-5,89.8,26.63,28.95
970107,-8.05,-109.93,-5.5,0.2,75.2,24.44,24.7
970107,-7.97,-125.02,-7,-3.5,81,25.64,26.13
970107,-8.27,-154.97,-0.1,-2.1,82.1,26.7,28.95
970107,-8.02,-170.02,-0.8,-7.9,73,28.4,29.17
970107,-8.02,-95.09,-4,3.1,77.8,22.91,23.64
970107,9,-140.28,-6.5,-3.6,82.4,25.89,26.88
970108,0.08,-110.02,-2.8,2.3,86,21.94,22.41
970108,-0.01,-140.02,-7.2,-1.4,77.4,24.62,24.71
970108,-0.01,-155.01,-2,-1.3,78.1,25.48,26.11
970108,0,156.15,1.6,0.2,70.3,28.98,29.96
970108,0,165,-1.9,-0.7,78.5,28.23,29.81
970108,-0.03,-170.03,-4.5,-3.3,73.6,26.93,27.88
970108,0,-179.9,-1,-3.9,73.9,28.19,28.75
970108,1.97,-125.09,-5.5,0.4,81.4,23.42,23.53
970108,1.99,-154.95,-2.8,0,79.4,25.57,26.49
970108,2.03,156.01,-3.5,0,84.7,28.35,29.98
970108,1.99,164.98,1,-4,75,28.56,29.83
970108,1.98,-169.94,-4.4,-1.2,80.8,27.63,27.8
970108,2.01,-179.8,-1.9,-2.1,72.3,28.57,29.03
970108,2.01,-95.04,-0.5,6.2,88.8,23.96,25.4
970108,-2.02,-139.95,-6.7,-3.2,77.6,24.45,24.55
970108,-1.97,-155.02,-2.5,-2,75,26.28,26.85
970108,-2,156,4.4,-1.2,76.1,29.01,29.72
970108,-1.93,164.34,1.4,0.3,79.9,28.37,29.97
970108,-2.17,-170.02,-4,-4.8,80.3,27.07,28.18
970108,-2,-179.98,0.6,-4.2,77.9,28.12,29.08
970108,-1.99,-95.03,-2.5,2.7,95.4,22.41,22.14
970108,4.91,-139.84,-6.8,2.4,80.5,25.86,26.27
970108,5,-154.93,-4.7,-1.8,84.2,26.54,27.38
970108,5,156.07,-4.2,-2.3,81.5,28.4,29.7
970108,5.04,165,-3.5,-1.9,74.5,28.71,29.75
970108,5.1,-94.9,1.2,4.6,96,24.28,26.62
970108,-4.98,-110.01,-6.7,1.7,79.4,23.17,24.19
970108,-5,-139.9,-3.7,-4.9,76.8,25.62,25.8
970108,-4.97,-154.99,-0.7,-5.5,74.6,26.64,27.47
970108,-5,156.01,4.8,-2.9,79.2,29.49,29.46
970108,-4.98,-169.99,-2.7,-5.4,74.1,27.64,28.51
970108,-5.03,-179.9,1.7,-4.2,78.3,28.36,29.46
970108,-5.01,-95.08,-2.7,3.5,75.3,22.92,23.33
970108,8.03,-125.01,-6.6,-3,79.7,25.33,26.72
970108,7.95,-154.99,-4.8,-4,79.6,27.33,28.02
970108,8.02,-170.04,-3.9,-1.5,89,26.07,28.76
970108,7.99,-179.81,-3.9,-5.5,88.2,27.52,28.99
970108,-8.06,-109.92,-6.5,0.2,77.8,24.59,24.61
970108,-7.98,-125.01,-6.3,-2.6,78.2,25.6,26.08
970108,-8.27,-154.97,5.1,-1.2,79.7,27.36,29.01
970108,-8.02,-170.04,-0.4,-6.7,71.8,28.32,29.14
970108,-8.03,-95.08,-3.9,2.3,77.1,23.22,23.63
970108,9,-140.28,-6.5,-0.7,90.2,25.46,26.86
970109,0.08,-110.02,-4.6,2,82.8,22.46,22.69
970109,-0.01,-140.04,-7.1,-0.8,76.1,24.7,24.75
970109,-0.01,-155.02,-3.8,-2.2,86.6,25.2,26.36
970109,0,156.15,1.4,0.1,71.1,29.02,30.07
970109,0,165,1.1,0.4,80.9,27.09,29.76
970109,-0.03,-170.03,-4.3,-1.9,70.3,26.81,27.78
970109,0,-179.9,-4,-2.7,76.7,28.15,28.54
970109,1.96,-125.09,-5.9,0.7,76.3,23.38,23.5
970109,1.99,-154.96,-4.1,-2.2,85.2,25.57,26.47
970109,2,164.98,-1.2,-2.3,81.7,26.41,29.66
970109,1.99,-169.95,-5,0.2,80.1,27.67,27.81
970109,2.01,-179.81,-4.4,-1.8,78.9,28.61,29.06
970109,2,-95.04,1.5,5.4,83.9,23.85,25.44
970109,-2.03,-139.96,-7,-2.7,75.5,24.65,24.76
970109,-1.97,-155.01,-2.8,-2.8,82.8,26.2,27.12
970109,-2,156,4.1,-0.4,75.8,29.05,29.86
970109,-1.93,164.33,1,1.4,78.3,28.77,29.73
970109,-2.17,-170.03,-3.5,-2.8,77,27.07,28.17
970109,-2.01,-179.99,-2.2,-5.6,75.8,28.4,28.9
970109,-1.97,-95.05,-0.7,3.7,91.2,22.45,22.13
970109,4.92,-139.84,-4.8,1.2,86.1,25.66,26.21
970109,5.01,-154.93,-5.4,-3.5,81.1,26.89,27.26
970109,5,156.07,-3.6,0.2,79.6,28.75,29.79
970109,5.05,165,-2.5,1,77.8,28.31,29.7
970109,5.09,-94.89,4.8,2,95.2,24.51,26.62
970109,-4.98,-110.01,-6.8,0.7,79.4,23.29,24.22
970109,-5,-139.9,-4.6,-3.5,75.2,25.73,25.81
970109,-4.97,-154.98,0.5,-4.7,76.2,26.88,27.6
970109,-5,156.02,4.4,-1.8,78.8,29.53,29.56
970109,-4.99,-169.99,-1.4,-3.6,71.7,27.6,28.59
970109,-5.03,-179.9,3,-6.4,79.5,28.24,29.1
970109,-5.01,-95.08,-1.6,3.1,73.2,23.04,23.5
970109,8.03,-125.01,-6.1,-4.1,77.2,25.61,26.73
970109,8.01,-170.05,-7.1,-5.3,84.1,27.97,28.9
970109,7.99,-179.81,-6.4,-6.9,83,28.28,29.03
970109,-8.06,-109.93,-6.7,1.5,80,24.67,24.49
970109,-7.97,-125.02,-5.1,-3.2,80.6,25.13,26.09
970109,-8.28,-154.96,5.9,-4.4,84.4,26.58,28.78
970109,-8.02,-170.03,1.2,-4.6,69.4,28.24,29.22
970109,-8.04,-95.09,-3,3.3,78.9,22.95,23.71
970109,9,-140.28,-8,-4,84.4,26.04,26.84
970110,0.08,-110.02,-5.3,2.9,81.2,22.5,22.88
970110,-0.01,-140.03,-7.6,-0.5,76,24.73,24.94
970110,-0.01,-155.02,-6,-1.6,81.3,25.48,26.16
970110,0,156.15,0.1,2.8,76.6,28.15,29.62
970110,0,165,2.7,-0.4,76.2,28.19,29.76
970110,-0.03,-170.03,-5.4,0.4,74.4,27.25,27.79
970110,0,-179.9,-4.1,-0.2,75.5,27.62,28.64
970110,1.97,-125.09,-7.4,2,79.8,23.23,23.62
970110,1.99,-154.97,-6,-0.3,79.8,25.84,26.43
970110,2.03,156.02,-2.3,3.5,82.9,28.67,29.77
970110,2,164.99,-1.1,0,75,27.84,29.77
970110,1.99,-169.94,-6.2,1.2,86.1,27.74,27.86
970110,2.01,-95.04,2.2,5.9,85.6,23.73,25.46
970110,-2.03,-139.96,-7.2,-3.1,75.5,24.8,24.93
970110,-1.97,-155.01,-5,-3.8,81.6,26.36,26.85
970110,-2,156,2.5,1.1,77.7,27.89,29.69
970110,-1.93,164.34,2.8,-1.1,83.6,27.9,29.52
970110,-2.17,-170.02,-4.6,-0.3,78.9,27.11,28.12
970110,-2.01,-179.99,-3.9,-2.8,72.9,28.12,28.99
970110,-1.98,-95.02,-0.3,2.1,90,22.48,22.51
970110,4.92,-139.84,-7.4,2.5,79.6,25.74,26.07
970110,5,-154.93,-6.2,-0.5,84.6,26.54,27.28
970110,5,156.07,-3.1,2.2,80.7,28.63,29.75
970110,5.05,165,-0.8,-1,77.8,28.47,29.71
970110,5.08,-94.9,3,-1.2,86.8,26.06,26.96
970110,-4.97,-110.01,-7.1,3,79.4,23.4,24.27
970110,-5,-139.91,-4.7,-2.9,76,25.89,25.84
970110,-4.98,-154.99,-1.8,-4.7,80.3,27.16,27.78
970110,-5,156.02,0.8,-0.8,81.9,27.86,29.46
970110,-4.99,-169.99,-0.5,-1.8,70.9,27.48,28.91
970110,-5.03,-179.89,-0.1,-6,75,28.48,28.94
970110,-5.01,-95.08,-1.5,2.1,72.4,22.92,23.83
970110,8.03,-125.01,-5.3,-5.5,82.2,25.49,26.67
970110,7.95,-154.97,-5.8,-5.5,79.6,26.97,28.02
970110,8.01,-170.05,-8.9,-4,84.5,27.54,28.81
970110,7.98,-179.82,-6.8,-7.2,83.4,28.12,28.97
970110,-8.06,-109.93,-6.6,2.9,76.7,24.79,24.49
970110,-7.97,-125.02,-7.3,-3.8,78.6,25.56,26.06
970110,-8.28,-154.98,5.5,-4.4,77.1,27.64,28.67
970110,-8.02,-170.03,2,-1.4,68.6,28.32,29.44
970110,-8.02,-95.08,-2,3.2,75.6,23.1,23.79
970110,9.01,-140.28,-8.1,-3.8,88.2,25.65,26.8
970111,0.08,-110.02,-4.4,3.6,82,22.34,22.82
970111,-0.01,-140.03,-6.7,-2.2,74.6,24.58,25.03
970111,-0.01,-155.01,-5.7,-2.3,80.5,25.48,26.17
970111,0,156.15,2.9,-2.3,73.2,28.71,29.74
970111,0,165,0.9,-2.9,76.6,28.15,30.08
